nombreSofifa,nombrefbdb,nombreWikidata,idSofifa,idfbdb,idWikidata,idFinal,similitud
Olympique Lyonnais,Lyon,,66,178,,33,43.57
1. FC Köln,Bologna,,31,97,,49,49.48
Stade Rennais FC,Rennes,Stade Rennais Football Club,74,163,Q19509,57,65.0
AC ChievoVerona,Verona,,192,94,,74,65.0
Sporting Club Bastia,SC Bastia,,58,162,,92,52.91
Stade Malherbe Caen,Caen,,210,165,,94,46.58
Parma,Parma Calcio 1913,,50,230,,124,52.5
Nîmes Olympique,Nimes,,224,235,,126,54.47
Stade Brestois 29,Brest,,378,241,,133,52.5
