gameID,season
4399,2014
4400,2014
4401,2014
4402,2014
4403,2014
4404,2014
4405,2014
4406,2014
4407,2014
4408,2014
4409,2014
4410,2014
4411,2014
4412,2014
4413,2014
4414,2014
4415,2014
4416,2014
4417,2014
4418,2014
4419,2014
4420,2014
4421,2014
4422,2014
4423,2014
4424,2014
4425,2014
4426,2014
4427,2014
4428,2014
4429,2014
4430,2014
4431,2014
4432,2014
4433,2014
4434,2014
4435,2014
4436,2014
4437,2014
4438,2014
4439,2014
4440,2014
4441,2014
4442,2014
4443,2014
4444,2014
4445,2014
4446,2014
4447,2014
4448,2014
4449,2014
4450,2014
4451,2014
4452,2014
4453,2014
4454,2014
4455,2014
4456,2014
4457,2014
4458,2014
4459,2014
4460,2014
4461,2014
4462,2014
4463,2014
4464,2014
4465,2014
4466,2014
4467,2014
4468,2014
4469,2014
4470,2014
4471,2014
4472,2014
4473,2014
4474,2014
4475,2014
4476,2014
4477,2014
4478,2014
4479,2014
4480,2014
4481,2014
4482,2014
4483,2014
4484,2014
4485,2014
4486,2014
4487,2014
4488,2014
4489,2014
4490,2014
4491,2014
4492,2014
4493,2014
4494,2014
4495,2014
4496,2014
4497,2014
4498,2014
4499,2014
4500,2014
4501,2014
4502,2014
4503,2014
4504,2014
4505,2014
4506,2014
4507,2014
4508,2014
4509,2014
4510,2014
4511,2014
4512,2014
4513,2014
4514,2014
4515,2014
4516,2014
4517,2014
4518,2014
4519,2014
4520,2014
4521,2014
4522,2014
4523,2014
4524,2014
4525,2014
4526,2014
4527,2014
4528,2014
4529,2014
4530,2014
4531,2014
4532,2014
4533,2014
4534,2014
4535,2014
4536,2014
4537,2014
4538,2014
4539,2014
4540,2014
4541,2014
4542,2014
4543,2014
4544,2014
4545,2014
4546,2014
4547,2014
4548,2014
4549,2014
4550,2014
4551,2014
4552,2014
4553,2014
4554,2014
4555,2014
4556,2014
4557,2014
4558,2014
4559,2014
4560,2014
4561,2014
4562,2014
4563,2014
4564,2014
4565,2014
4566,2014
4567,2014
4568,2014
4569,2014
4570,2014
4571,2014
4572,2014
4573,2014
4574,2014
4575,2014
4576,2014
4577,2014
4578,2014
4579,2014
4580,2014
4581,2014
4582,2014
4583,2014
4584,2014
4585,2014
4586,2014
4587,2014
4588,2014
4589,2014
4590,2014
4591,2014
4592,2014
4593,2014
4594,2014
4595,2014
4596,2014
4597,2014
4598,2014
4599,2014
4600,2014
4601,2014
4602,2014
4603,2014
4604,2014
4605,2014
4606,2014
4607,2014
4608,2014
4609,2014
4610,2014
4611,2014
4612,2014
4613,2014
4614,2014
4615,2014
4616,2014
4617,2014
4618,2014
4619,2014
4620,2014
4621,2014
4622,2014
4623,2014
4624,2014
4625,2014
4626,2014
4627,2014
4628,2014
4629,2014
4630,2014
4631,2014
4632,2014
4633,2014
4634,2014
4635,2014
4636,2014
4637,2014
4638,2014
4639,2014
4640,2014
4641,2014
4642,2014
4643,2014
4644,2014
4645,2014
4646,2014
4647,2014
4648,2014
4649,2014
4650,2014
4651,2014
4652,2014
4653,2014
4654,2014
4655,2014
4656,2014
4657,2014
4658,2014
4659,2014
4660,2014
4661,2014
4662,2014
4663,2014
4664,2014
4665,2014
4666,2014
4667,2014
4668,2014
4669,2014
4670,2014
4671,2014
4672,2014
4673,2014
4674,2014
4675,2014
4676,2014
4677,2014
4678,2014
4679,2014
4680,2014
4681,2014
4682,2014
4683,2014
4684,2014
4685,2014
4686,2014
4687,2014
4688,2014
4689,2014
4690,2014
4691,2014
4692,2014
4693,2014
4694,2014
4695,2014
4696,2014
4697,2014
4698,2014
4699,2014
4700,2014
4701,2014
4702,2014
4703,2014
4704,2014
4705,2014
4706,2014
4707,2014
4708,2014
4709,2014
4710,2014
4711,2014
4712,2014
4713,2014
4714,2014
4715,2014
4716,2014
4717,2014
4718,2014
4719,2014
4720,2014
4721,2014
4722,2014
4723,2014
4724,2014
4725,2014
4726,2014
4727,2014
4728,2014
4729,2014
4730,2014
4731,2014
4732,2014
4733,2014
4734,2014
4735,2014
4736,2014
4737,2014
4738,2014
4739,2014
4740,2014
4741,2014
4742,2014
4743,2014
4744,2014
4745,2014
4746,2014
4747,2014
4748,2014
4749,2014
4750,2014
4751,2014
4752,2014
4753,2014
4754,2014
4755,2014
4756,2014
4757,2014
4758,2014
4759,2014
4760,2014
4761,2014
4762,2014
4763,2014
4764,2014
4765,2014
4766,2014
4767,2014
4768,2014
4769,2014
4770,2014
4771,2014
4772,2014
4773,2014
4774,2014
4775,2014
4776,2014
4777,2014
4778,2014
4779,2014
4780,2014
4781,2014
4782,2014
4783,2014
4784,2014
4785,2014
4786,2014
4787,2014
4788,2014
4789,2014
4790,2014
4791,2014
4792,2014
4793,2014
4794,2014
4795,2014
4796,2014
4797,2014
4798,2014
4799,2014
4800,2014
4801,2014
4802,2014
4803,2014
4804,2014
4805,2014
4806,2014
4807,2014
4808,2014
4809,2014
4810,2014
4811,2014
4812,2014
4813,2014
4814,2014
4815,2014
4816,2014
4817,2014
4818,2014
4819,2014
4820,2014
4821,2014
4822,2014
4823,2014
4824,2014
4825,2014
4826,2014
4827,2014
4828,2014
4829,2014
4830,2014
4831,2014
4832,2014
4833,2014
4834,2014
4835,2014
4836,2014
4837,2014
4838,2014
4839,2014
4840,2014
4841,2014
4842,2014
4843,2014
4844,2014
4845,2014
4846,2014
4847,2014
4848,2014
4849,2014
4850,2014
4851,2014
4852,2014
4853,2014
4854,2014
4855,2014
4856,2014
4857,2014
4858,2014
4859,2014
4860,2014
4861,2014
4862,2014
4863,2014
4864,2014
4865,2014
4866,2014
4867,2014
4868,2014
4869,2014
4870,2014
4871,2014
4872,2014
4873,2014
4874,2014
4875,2014
4876,2014
4877,2014
4878,2014
4879,2014
4880,2014
4881,2014
4882,2014
4883,2014
4884,2014
4885,2014
4886,2014
4887,2014
4888,2014
4889,2014
4890,2014
4891,2014
4892,2014
4893,2014
4894,2014
4895,2014
4896,2014
4897,2014
4898,2014
4899,2014
4900,2014
4901,2014
4902,2014
4903,2014
4904,2014
4905,2014
4906,2014
4907,2014
4908,2014
4909,2014
4910,2014
4911,2014
4912,2014
4913,2014
4914,2014
4915,2014
4916,2014
4917,2014
4918,2014
4919,2014
4920,2014
4921,2014
4922,2014
4923,2014
4924,2014
4925,2014
4926,2014
4927,2014
4928,2014
4929,2014
4930,2014
4931,2014
4932,2014
4933,2014
4934,2014
4935,2014
4936,2014
4937,2014
4938,2014
4939,2014
4940,2014
4941,2014
4942,2014
4943,2014
4944,2014
4945,2014
4946,2014
4947,2014
4948,2014
4949,2014
4950,2014
4951,2014
4952,2014
4953,2014
4954,2014
4955,2014
4956,2014
4957,2014
4958,2014
4959,2014
4960,2014
4961,2014
4962,2014
4963,2014
4964,2014
4965,2014
4966,2014
4967,2014
4968,2014
4969,2014
4970,2014
4971,2014
4972,2014
4973,2014
4974,2014
4975,2014
4976,2014
4977,2014
4978,2014
4979,2014
4980,2014
4981,2014
4982,2014
4983,2014
4984,2014
4985,2014
4986,2014
4987,2014
4988,2014
4989,2014
4990,2014
4991,2014
4992,2014
4993,2014
4994,2014
4995,2014
4996,2014
4997,2014
4998,2014
4999,2014
5000,2014
5001,2014
5002,2014
5003,2014
5004,2014
5005,2014
5006,2014
5007,2014
5008,2014
5009,2014
5010,2014
5011,2014
5012,2014
5013,2014
5014,2014
5015,2014
5016,2014
5017,2014
5018,2014
5019,2014
